Id,Eccentricity,Closeness Centrality,Betweenness Centrality,Clustering Coefficient
0,1.0,1.0,3.0,0.0
1,5.0,3.0,50.0,0.0
2,3.0,2.0,3.0,0.0
3,4.0,2.5,44.0,0.0
4,2.0,1.5,4.0,0.0
5,10.0,6.869565217391305,35.0,0.0
6,1.0,1.0,128.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,11.0,7.583333333333333,4.0,0.5
12,0.0,0.0,0.0,0.0
13,5.0,4.166666666666667,144.0,0.0
14,10.0,6.52,39.0,0.0
15,11.0,7.269230769230769,15.0,0.0
16,2.0,1.8888888888888888,135.0,0.0
17,8.0,5.380952380952381,189.0,0.0
18,1.0,1.0,14.0,0.0
19,4.0,3.4545454545454546,143.0,0.0
20,9.0,5.75,106.0,0.083333336
21,6.0,4.846153846153846,143.0,0.0
22,9.0,6.136363636363637,55.0,0.0
23,3.0,2.0,36.0,0.0
24,10.0,6.666666666666667,23.0,0.5
25,7.0,5.5,140.0,0.0
26,11.0,7.583333333333333,13.0,0.0
27,2.0,1.5,26.0,0.0
28,0.0,0.0,0.0,0.0
29,3.0,2.7,140.0,0.0
30,12.0,6.823529411764706,0.0,0.0
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0
